245$a	245$b	245$c	100	wikidata100	502$b	502$c	502$d	008	300$a	700	Wikidata	856$u	001
Roman declamation /		John Alestair McCharles.	"McCharles, John Alestair,author."		M.A.	University of Washington	1930.	191205s1930\\\\wau\\\\\obm\\\000\0\eng\d	1 online resource (46 pages)			http://hdl.handle.net/1773/44556	1129590967
Reading (with) the animals :	Lucretius' creatures and his poetic program /	by Braden Mechley.	"Mechley, Braden."		Ph. D.	University of Washington	1998	990623s1998\\\\xx\\\\\\\bm\\\000\0\eng\d	"iv, 198 leaves"			http://hdl.handle.net/1773/11465;http://gateway.proquest.com/openurl?url_ver=Z39.88-2004&rft_val_fmt=info:ofi/fmt:kev:mtx:dissertation&res_dat=xri:pqm&rft_dat=xri:pqdiss:9907937	41599351
Thucydides' description of the great plague at Athens /		by Thomas E. Morgan.	"Morgan, Thomas E."		M.A.	University of Washington	1989	900807s1989\\\\xx\a\\\\\bm\\\000\0\eng\d	"iii, 53 leaves (1 folded) :"				22192684
The dream of a shadow :	death and heroism in the poetry of Homer /	Alane Lindsay Morse.	"Morse, Lindsay Alane."		Ph. D.	University of Washington	2010	110427s2010\\\\xx\\\\\\\bm\\\000\0\eng\d	"ii, 214 pages"			http://gateway.proquest.com/openurl?url_ver=Z39.88-2004&rft_val_fmt=info:ofi/fmt:kev:mtx:dissertation&res_dat=xri:pqm&rft_dat=xri:pqdiss:3431725	715505446
Polyphonic Argo /		Jackie Murray.	"Murray, Jackie."		Ph. D.	University of Washington	2005	060404s2005\\\\xx\\\\\\\bm\\\000\0\eng\d	"v, 134 leaves"				65474485
Measured responses :	minor characters in Plato's Sophist and Statesman /	Patrick J. Myers.	"Myers, Patrick J.,1968-"		Ph. D.	University of Washington	2003	040308s2003\\\\xx\\\\\\\bm\\\000\0\eng\d	"iv, 276 leaves"			http://hdl.handle.net/1773/11476;http://gateway.proquest.com/openurl?url_ver=Z39.88-2004&rft_val_fmt=info:ofi/fmt:kev:mtx:dissertation&res_dat=xri:pqm&rft_dat=xri:pqdiss:3102685	54643777
Petronius and the Greek parodic tradition /		by Nancy Lynn Napiorski.	"Napiorski, Nancy Lynn."		Ph. D.	University of Washington	1996	970404s1996\\\\xx\\\\\\\bm\\\000\0\eng\d	"vi, 280 leaves"			http://hdl.handle.net/1773/11462	36681342
The Presbeutikos of the Hippocratic corpus :	"an introduction with text, translation and commentary /"	by Eric D. Nelson.	"Nelson, Eric D."		Ph. D.	University of Washington	1992	921229s1992\\\\xx\a\\\\\bm\\\000\0\eng\d	"iv, 227 leaves :"				27179901
Rhetoric and epistolary exchange in Ovid's Heroides 16-21 /		Erika J. Nesholm.	"Nesholm, Erika J."		Ph. D.	University of Washington	2005	060804s2005\\\\xx\\\\\\\bm\\\000\0\eng\d	"iii, 217 pages"			http://hdl.handle.net/1773/11473;http://gateway.proquest.com/openurl?url_ver=Z39.88-2004&rft_val_fmt=info:ofi/fmt:kev:mtx:dissertation&res_dat=xri:pqm&rft_dat=xri:pqdiss:3198827	70835682
"Art, literature, and politics of identity in the High Roman Empire /"		Mark Nugent.	"Nugent, Mark,1977-"		Ph. D.	University of Washington	2010	100927s2010\\\\xx\\\\\\\bm\\\000\0\eng\d	"iii, 125 leaves"			http://gateway.proquest.com/openurl?url_ver=Z39.88-2004&rft_val_fmt=info:ofi/fmt:kev:mtx:dissertation&res_dat=xri:pqm&rft_dat=xri:pqdiss:3406027	665868694
