245$a	245$b	245$c	100	wikidata	502$b	502$c	502$d	8	300$a	700	856$u	1
Studies of the cation exchange system Fe-H.			"Vasishth, Ramesh Chander,1928-"		Ph. D.	University of Washington		890724s1960\\\\xx\a\\\\\bm\\\000\0\eng\d	126 leaves			20055771
Mass transfer at a solid-liquid interface.			"Vasudev, Arakere,1935-"		Ph. D.	University of Washington		890724s1963\\\\xx\a\\\\\bm\\\000\0\eng\d	76 leaves			20055559
Kinetic studies of the ammonia-carbon dioxide-water system.			"Waldorf, Daniel Manning."		M.S.	University of Washington		890724s1960\\\\xx\a\\\\\bm\\\000\0\eng\d	73 leaves			20059377
Reactions and equilibria in the nitrogen oxides-water system /		by Daniel Manning Waldorf.	"Waldorf, Daniel Manning."		Ph. D.	University of Washington	1962	890418s1962\\\\xx\a\\\\rbm\\\000\0\eng\d	"xii, 222 pages :"		http://gateway.proquest.com/openurl?url_ver=Z39.88-2004&rft_val_fmt=info:ofi/fmt:kev:mtx:dissertation&res_dat=xri:pqm&rft_dat=xri:pqdiss:6206640	19566461
Decontamination of pressurized-water systems.			"Weed, Ronald D."		M.S. in Chem. Eng.	University of Washington		890724s1962\\\\xx\a\\\\\bm\\\000\0\eng\d	162 leaves			20059113
Two-phase heat transfer to steam-water mixtures flowing in a horizontal tube.			"Whang, Kyu Hyok."		M.S. in Chem. Eng.	University of Washington		890724s1961\\\\xx\a\\\\\bm\\\000\0\eng\d	93 leaves			20059178
Thermal neutron flux measurements with indium foils using gamma scintillation spectrometry.			"Wilson, William E."		M.S. in E.	University of Washington		890713s1959\\\\xx\a\\\\\bm\\\000\0\eng\d	"30, 6 leaves"			20001100
Internal circulation of a droplet during its formation.			"Zang, Hyung Koon."		M.S. in Chem. E.	University of Washington		890713s1963\\\\xx\a\\\\\bm\\\000\0\eng\d	60 leaves			20001238
Numerical analysis of stratified laminar flow of two immiscible liquids in circular and non-circular pipes.			"Achutaramayya, Gaddipati."		M.S. Ch. E.	University of Washington		890522s1967\\\\xx\a\\\\\bm\\\000\0\eng\d	87 leaves			19744741
"Pressure drop characteristics of two eccentrically positioned orifices in series: I. Effect of eccentricity, spacing of orifices and of the orifice to pipe diameter ratio."			"Agar, James Darrel."		M.S. in Chem. E.	University of Washington		890602s1965\\\\xx\a\\\\\bm\\\000\0\eng\d	89 leaves			19805534
The hydrodynamic entry length in rectangular ducts.			"Agarwala, Om Prakash,1942-"		M.S. Ch. E.	University of Washington		890522s1967\\\\xx\a\\\\\bm\\\000\0\eng\d	47 leaves			19744674
High temperature chlorination of metallic silicates in a fluidized bed.			"Almond, James Clayton,1933-"		Ph. D.	University of Washington		890531s1965\\\\xx\a\\\\\bm\\\000\0\eng\d	154 leaves			19789637
An analog digital logic computer study of liquid-phase mass transfer rates in ion exchange.			"Au Yong, Kok Shu."		M.S. Ch. E.	University of Washington		890525s1969\\\\xx\a\\\\\bm\\\000\0\eng\d	102 leaves			19761815
Heat transfer and eddy diffusivity in NaK in a pipe at uniform wall temperature.			"Awad, Adel Shehadeh,1931-"		Ph. D.	University of Washington		890717s1965\\\\xx\a\\\\\bm\\\000\0\eng\d	121 leaves			20019662
The effect of surface active agents on mass transfer from single drops subject to interfacial instability.			"Beitel, Allan."		M.S. Ch. E.	University of Washington		890522s1969\\\\xx\a\\\\\bm\\\000\0\eng\d	47 leaves			19745147
"A theoretical and experimental study of dispersed phase axial mixing in a sieve plate, pulsed solvent extraction column."			"Bell, Richard Leslie,1934-"		Ph. D.	University of Washington		890531s1964\\\\xx\a\\\\\bm\\\000\0\eng\d	497 leaves			19789691
Longitudinal intensity of turbulence for pulsatile flow in a tube.			"Benson, John Willard."		M.S. Ch. E.	University of Washington		890522s1968\\\\xx\a\\\\\bm\\\000\0\eng\d	78 leaves			19744971
