245$a	245$b	245$c	100	wikidata	502$b	502$c	502$d	8	300$a	700	856$u	1
Molecular engineering and characterization of self-assembled biorecognition surfaces /		by Sheng Pan.	"Pan, Sheng,1965-"		Ph. D.	University of Washington	1999	000414s1999\\\\xx\a\\\\\bm\\\000\0\eng\d	"xv, 234 leaves :"		http://hdl.handle.net/1773/9816;http://gateway.proquest.com/openurl?url_ver=Z39.88-2004&rft_val_fmt=info:ofi/fmt:kev:mtx:dissertation&res_dat=xri:pqm&rft_dat=xri:pqdiss:9936456	43854524
Environmental stability of high temperature polymeric matrix composites /		by William Patrick Paplham.	"Paplham, William Patrick,1967-"		Ph. D.	University of Washington	1995	950731s1995\\\\xx\a\\\\\bm\\\000\0\eng\d	"viii, 122 leaves :"			32901032
Correlation of biological interactions with surface properties /		by Víctor Hugo Pérez-Luna.	"Pérez-Luna, Víctor Hugo,1963-"		Ph. D.	University of Washington	1995	960920s1995\\\\xx\a\\\\\bm\\\000\0\eng\d	"xviii, 236 leaves :"			35598640
The chemical efficiency of fiber-wall-filling technology /		by Juta Pichitlamken.	"Pichitlamken, Juta."		M.S. Ch. E.	University of Washington	1996	971106s1996\\\\xx\a\\\\\bm\\\000\0\eng\d	"vii, 81 leaves :"			37901344
Fundamental studies of the effect of electric fields on water-surface chemistry /		by Tim D. Pinkerton.	"Pinkerton, Tim D.,1969-"		Ph. D.	University of Washington	1998	991116s1998\\\\xx\a\\\\\bm\\\000\0\eng\d	"viii, 140 leaves :"		http://hdl.handle.net/1773/9900;http://gateway.proquest.com/openurl?url_ver=Z39.88-2004&rft_val_fmt=info:ofi/fmt:kev:mtx:dissertation&res_dat=xri:pqm&rft_dat=xri:pqdiss:9916704	42836450
Effects of oligosaccharides on the properties of paper /		Porranee Rattanaviwatpong.	Porranee Thanapakpawin.		M.S. Ch. E.	University of Washington	2000	010706s2000\\\\xx\a\\\\\bm\\\000\0\eng\d	"x, 107 leaves :"			47252479
"Synthesis, surface characterization, and biointeraction studies of low-surface energy side-chain polyetherurethanes /"		by Stephen Christopher Porter.	"Porter, Stephen Christopher,1969-"		Ph. D.	University of Washington	1999	000413s1999\\\\xx\a\\\\\bm\\\000\0\eng\d	"xx, 265 leaves :"		http://hdl.handle.net/1773/9845;http://gateway.proquest.com/openurl?url_ver=Z39.88-2004&rft_val_fmt=info:ofi/fmt:kev:mtx:dissertation&res_dat=xri:pqm&rft_dat=xri:pqdiss:9936464	43845807
Efficient numerical methods for nonlinear mass transport and exchange in biological media /		by Christophe A. Poulain.	"Poulain, Christophe A.(Christophe André),1968-"		Ph. D.	University of Washington	1995	950731s1995\\\\xx\a\\\\\bm\\\000\0\eng\d	"vi, 167 leaves :"			32901009
Composite prepreg process characteristics /		by John William Putnam.	"Putnam, John William,1967-"		Ph. D.	University of Washington	1996	961211s1996\\\\xx\a\\\\\bm\\\000\0\eng\d	"xv, 215 leaves :"			36072109
Evaporation and condensation of a single aerosol particle /		Xiuqiang Qu.	"Qu, Xiuqiang."		M.S. Ch. E.	University of Washington	2000	010706s2000\\\\xx\a\\\\\bm\\\000\0\eng\d	"vi, 72 leaves :"			47250449
Inorganic reactions inside micropores /		by Hithesh Raghavan.	"Raghavan, Hithesh."		M.S. Ch. E.	University of Washington	2001	020827s2001\\\\xx\a\\\\\bm\\\000\0\eng\d	"vi, 64 leaves :"			50489442
Application of lower cost composites to the aircraft environment /		by Daniel John Renn.	"Renn, Daniel John."		M.S.E.	University of Washington	1996	970624s1996\\\\xx\a\\\\\bm\\\000\0\eng\d	"viii, 148 leaves :"			37186072
Optimizing correct disulfide bond formation in the cytoplasm of Escherichia coli /		Stephanie Ann Richardson.	"Richardson, Stephanie Ann."		M.S. Ch. E.	University of Washington	2000	010405s2000\\\\xx\a\\\\\bm\\\000\0\eng\d	"vi, 108 leaves :"			46675175
"Mechanistic, surface chemistry, and growth studies of novel precursors for aluminum nitride thin films /"		by David Walter Robinson.	"Robinson, David Walter."		Ph. D.	University of Washington	1999	000414s1999\\\\xx\a\\\\\bm\\\000\0\eng\d	"xi, 190 leaves :"		http://hdl.handle.net/1773/9875;http://gateway.proquest.com/openurl?url_ver=Z39.88-2004&rft_val_fmt=info:ofi/fmt:kev:mtx:dissertation&res_dat=xri:pqm&rft_dat=xri:pqdiss:9936469	43854588
Composition related effects on thermal reactivity of organic feedstocks /		by Indalesio Rodriguez.	"Rodriguez, Indalesio,1960-"		Ph. D.	University of Washington	1996	970624s1996\\\\xx\a\\\\\bm\\\000\0\eng\d	"viii, 196 leaves :"		http://hdl.handle.net/1773/9895	37185735
Elemental and total chlorine free bleaching of conventional and RDH Kraft pulp from hybrid poplar /		by Eric Roehl.	"Roehl, Eric."		M.S. Ch. E.	University of Washington	1995	960316s1995\\\\xx\a\\\\\bm\\\000\0\eng\d	"vi, 72 leaves :"			34379034
Quantifying plant model parameter effects on controller performance /		by Dennis Wayne Rogalsky.	"Rogalsky, Dennis Wayne."		Ph. D.	University of Washington	1999	000412s1999\\\\xx\a\\\\\bm\\\000\0\eng\d	"iv, 88 leaves :"		http://hdl.handle.net/1773/9843;http://gateway.proquest.com/openurl?url_ver=Z39.88-2004&rft_val_fmt=info:ofi/fmt:kev:mtx:dissertation&res_dat=xri:pqm&rft_dat=xri:pqdiss:9936470	43841470
Mathematical modeling of the pharyngeal phase of swallowing /		by Brigette Marie Rosendall.	"Rosendall, Brigette Marie."		Ph. D.	University of Washington	1996	971106s1996\\\\xx\a\\\\\bm\\\000\0\eng\d	"x, 188 leaves :"		http://hdl.handle.net/1773/9888	37902870
"Interactions between beta-lactamase mutants and two Escherichia coli molecular chaperones, GroEL and SecB /"		by Pascale Roux.	"Roux, Pascale."		M.S.C.E.	University of Washington	1995	950731s1995\\\\xx\a\\\\\bm\\\000\0\eng\d	"iv, 63 leaves :"			32901047
Flotation deinking of toner-printed papers /		by Dale C. Schmidt.	"Schmidt, Dale C.(Dale Charles),1965-"		Ph. D.	University of Washington	1996	971117s1996\\\\xx\a\\\\\bm\\\000\0\eng\d	"vii, 137 leaves :"		http://hdl.handle.net/1773/9828	37953097
Dielectric properties and ionization of water in high interfacial electric fields /		by Dawn Laura Scovell.	"Scovell, Dawn Laura."		Ph. D.	University of Washington	1999	000414s1999\\\\xx\a\\\\\bm\\\000\0\eng\d	"x, 175 leaves :"		http://hdl.handle.net/1773/9877	43854911
Aggregation stability phenomena in aqueous polymer colloid dispersions /		by Jill Elisabeth Seebergh.	"Seebergh, Jill Elisabeth,1967-"		Ph. D.	University of Washington	1995	960323s1995\\\\xx\a\\\\\bm\\\000\0\eng\d	"viii, 156 leaves :"			34436024
Processing and characterization of honeycomb composite systems /		by Jahan Emir Shafizadeh.	"Shafizadeh, Jahan Emir,1972-"		Ph. D.	University of Washington	1999	000608s1999\\\\xx\a\\\\\bm\\\000\0\eng\d	"xii, 193 leaves :"		http://hdl.handle.net/1773/9830	44262439
Biochemical characterization of the Escherichia coli small heat shock proteins IbpA and IbpB /		by Jeffrey R. Shearstone.	"Shearstone, Jeffrey R."	Q58001632	M.S. Ch. E.	University of Washington	1999	991116s1999\\\\xx\a\\\\\bm\\\000\0\eng\d	"vi, 70 pages :"			42836513
Autoclave and resin transfer processes for thermoset matrix based composites /		by Sang-Beom Shim.	"Shim, Sang-Beom,1967-"		Ph. D.	University of Washington	1995	960816s1995\\\\xx\a\\\\\bm\\\000\0\eng\d	"xxii, 478 pages :"			35254325
Influence of acid-base environment on peel mechanics /		by Ronald A. Sinicki.	"Sinicki, Ronald A."		M.S. Ch. E.	University of Washington	1998	990310s1998\\\\xx\a\\\\\bm\\\000\0\eng\d	"vi, 72 leaves :"			40939717
De-inking toner-printed paper by selective agglomeration /		by Bret Alan Snyder.	"Snyder, Bret Alan,1969-"		Ph. D.	University of Washington	1996	970701s1996\\\\xx\a\\\\\bm\\\000\0\eng\d	"viii, 151 leaves :"		http://hdl.handle.net/1773/9886	37224150
Heat transfer through ferrofluids in the presence of magnetic fields /		Suzanne McKay Snyder.	"Snyder, Suzanne McKay."		M.S. Ch. E.	University of Washington	1999	000608s1999\\\\xx\a\\\\\bm\\\000\0\eng\d	"vi, 61 leaves :"			44262902
Rates of the surface reactions in methanol and carbon monoxide electrooxidation :	experimental measurements and kinetic modeling /	Suresh Sriramulu.	"Sriramulu, Suresh."		Ph. D.	University of Washington	1999	000510s1999\\\\xx\a\\\\\bm\\\000\0\eng\d	"ix, 164 leaves :"		http://hdl.handle.net/1773/9904;http://gateway.proquest.com/openurl?url_ver=Z39.88-2004&rft_val_fmt=info:ofi/fmt:kev:mtx:dissertation&res_dat=xri:pqm&rft_dat=xri:pqdiss:9944183	44021284
Steric and electrosteric stabilization of colloids in aqueous salt solutions /		by Victoria Susan Stenkamp.	"Stenkamp, Victoria S.(Victoria Susan)"		Ph. D.	University of Washington	1999	000608s1999\\\\xx\a\\\\\bm\\\000\0\eng\d	"xii, 214 leaves :"		http://hdl.handle.net/1773/9827;http://gateway.proquest.com/openurl?url_ver=Z39.88-2004&rft_val_fmt=info:ofi/fmt:kev:mtx:dissertation&res_dat=xri:pqm&rft_dat=xri:pqdiss:9952906	44262275
The behavior of sol-emulsion systems /		by Jorge Max Sunkel.	"Sunkel, Jorge Max."		Ph. D.	University of Washington	1998	990305s1998\\\\xx\a\\\\\bm\\\000\0\eng\d	"ix, 137 leaves :"		http://hdl.handle.net/1773/9927;http://gateway.proquest.com/openurl?url_ver=Z39.88-2004&rft_val_fmt=info:ofi/fmt:kev:mtx:dissertation&res_dat=xri:pqm&rft_dat=xri:pqdiss:9836257	40910514
Molecular chaperones and the folding of recombinant proteins in Escherichia coli /		Jeffrey G. Thomas.	"Thomas, Jeffrey G.,1969-"		Ph. D.	University of Washington	1998	981210s1998\\\\xx\a\\\\\bm\\\000\0\eng\d	"viii, 182 leaves :"		http://hdl.handle.net/1773/9881	40469573
An analysis of the effects of axial dispersion and tissue solubility on gas exchange in the upper airways /		by Maren Marie Twedt.	"Twedt, Maren Marie."		M.S. Ch. E.	University of Washington	1996	970617s1996\\\\xx\a\\\\\bm\\\000\0\eng\d	"vi, 150 leaves :"			37136393
Expression of recombinant proteins in Escherichia coli under the transcriptional control of the cold-shock inducible cspA promoter /		by Jess A. Vasina.	"Vasina, Jess A.,1968-"		Ph. D.	University of Washington	1997	981021s1997\\\\xx\a\\\\\bm\\\000\0\eng\d	"viii, 124 leaves :"		http://hdl.handle.net/1773/9866	40148015
Increasing recombinant protein excretion in Escherichia coli through overproduction of the third topological domain of the TolA transenvelope protein /		by Eugene Wan.	"Wan, Eugene."		M.S. Ch. E.	University of Washington	1997	981026s1997\\\\xx\a\\\\\bm\\\000\0\eng\d	"vii, 70 leaves :"			40168717
Protein template-imprinting to enhance specific protein adsorption and cell adhesion /		by Janet Lee Wang.	"Wang, Janet Lee."		M.S.C.E.	University of Washington	2001	020620s2001\\\\xx\a\\\\\bm\\\000\0\eng\d	"xi, 110 leaves :"			50031942
Chemical reaction and thermodynamic studies of microparticles using electrodynamic balances /		by John F. Widmann.	"Widmann, John F."		Ph. D.	University of Washington	1997	980619s1997\\\\xx\a\\\\\bm\\\000\0\eng\d	"xii, 197 leaves :"		http://hdl.handle.net/1773/9873	39317760
Adsorption of polyelectrolyte on colloidal particles /		by Lily Woo.	"Woo, Lily."		M.S. Ch. E.	University of Washington	1999	000417s1999\\\\xx\a\\\\\bm\\\000\0\eng\d	"viii, 86 leaves :"			43868592
Process innovation in high-performance systems :	from polymeric composites R & D to design and build of airplane showers /	Yi-Jui Wu.	"Wu, Yi-Jui,1973-"		Ph. D.	University of Washington	2001	020620s2001\\\\xx\a\\\\\bm\\\000\0\eng\d	"viii, 150 pages :"		http://gateway.proquest.com/openurl?url_ver=Z39.88-2004&rft_val_fmt=info:ofi/fmt:kev:mtx:dissertation&res_dat=xri:pqm&rft_dat=xri:pqdiss:3022911	50032676
"Multi-objective, plant-wide control and optimization of chemical processes /"		by Ming Yan.	"Yan, Ming,1967-"		Ph. D.	University of Washington	1996	971106s1996\\\\xx\a\\\\\bm\\\000\0\eng\d	"xi, 144 pages :"		http://hdl.handle.net/1773/9918	37901419
Thermophoretic force measurements of spherical and non-spherical particles /		by Feng Zheng.	"Zheng, Feng,1971-"		Ph. D.	University of Washington	2000	010710s2000\\\\xx\a\\\\\bm\\\000\0\eng\d	"xiv, 146 leaves :"		http://hdl.handle.net/1773/9874;http://gateway.proquest.com/openurl?url_ver=Z39.88-2004&rft_val_fmt=info:ofi/fmt:kev:mtx:dissertation&res_dat=xri:pqm&rft_dat=xri:pqdiss:9995460	47266711
Improvement in adhesion of E-glass fiber/PVB composites /		Rachit Agarwal.	"Agarwal, Rachit."		M.S. Ch. E.	University of Washington	2008	081031s2008\\\\xx\a\\\\\bm\\\000\0\eng\d	"iv, 47 leaves :"			266032979
Electrochemical nanomoulding through proteins /		Daniel B. Allred.	"Allred, Daniel B.,1974-"		Ph. D.	University of Washington	2006	061214s2006\\\\xx\a\\\\\bm\\\000\0\eng\d	"iv, 104 leaves :"		http://hdl.handle.net/1773/9862;http://gateway.proquest.com/openurl?url_ver=Z39.88-2004&rft_val_fmt=info:ofi/fmt:kev:mtx:dissertation&res_dat=xri:pqm&rft_dat=xri:pqdiss:3224178	76971736
Experimental and theoretical investigations of methanol oxidation and related reactions on platinum electrodes /		Líney Árnadóttir.	"Árnadóttir, Líney."	Q90692106	Ph. D.	University of Washington	2007	080519s2007\\\\xx\a\\\\\bm\\\000\0\eng\d	"xiv, 165 pages :"			228302655
Development of microreactor systems for electrocatalytic studies of methanol oxidation at elevated temperatures /		Nallakkan Subbiah Arvindan.	"Arvindan, Nallakkan Subbiah."		Ph. D.	University of Washington	2003	040210s2003\\\\xx\a\\\\\bm\\\000\0\eng\d	"xi, 192 leaves :"		http://hdl.handle.net/1773/9914;http://gateway.proquest.com/openurl?url_ver=Z39.88-2004&rft_val_fmt=info:ofi/fmt:kev:mtx:dissertation&res_dat=xri:pqm&rft_dat=xri:pqdiss:3102621	54390784
Degradable poly(hydroxyethyl methacrylate) for use in cardiac tissue engineered constructs /		Sarah K. Atzet.	"Atzet, Sarah K.(Sarah Kathryn)"		Ph. D.	University of Washington	2008	090416s2008\\\\xx\a\\\\\bm\\\000\0\eng\d	"xvii, 205 leaves :"			318614451
Molecular engineering of polymer thin-film transistors /		Amit Babel.	"Babel, Amit,1978-"		Ph. D.	University of Washington	2006	061004s2006\\\\xx\a\\\\\bm\\\000\0\eng\d	"xiv, 231 leaves :"			71834997
High temperature Faraday balance for electronic structure studies in perovskites /		Dinesh Baskar.	"Baskar, Dinesh,1980-"		M.S. Ch. E.	University of Washington	2005	051109s2005\\\\xx\a\\\\\bm\\\000\0\eng\d	"viii, 91 leaves :"			62248750
High temperature magnetic properties of transition metal oxides with perovskite structure /		Dinesh Baskar.	"Baskar, Dinesh,1980-"		Ph. D.	University of Washington	2008	081103s2008\\\\xx\a\\\\\bm\\\000\0\eng\d	"viii, 120 leaves :"		http://hdl.handle.net/1773/9812;http://gateway.proquest.com/openurl?url_ver=Z39.88-2004&rft_val_fmt=info:ofi/fmt:kev:mtx:dissertation&res_dat=xri:pqm&rft_dat=xri:pqdiss:3318157	268678343
Biomolecular interfaces :	controlling protein adsorption for biomaterial and biosensor applications /	Matthew T. Bernards.	"Bernards, Matthew T."		Ph. D.	University of Washington	2008	090316s2008\\\\xx\a\\\\\bm\\\000\0\eng\d	"xiii, 179 leaves :"			315898483
Transport property determination in microfluidic systems /		Derek James Bezaire.	"Bezaire, Derek James."		M.S. Ch. E.	University of Washington	2005	050810s2005\\\\xx\a\\\\\bm\\\000\0\eng\d	"vi, 49 leaves :"			61242130
Genetically engineered proteins for electrochemical deposition of cuprous oxide and silver /		Janhavi G. Bhandari.	"Bhandari, Janhavi G."		M.S. Ch. E.	University of Washington	2006	061204s2006\\\\xx\a\\\\\bm\\\000\0\eng\d	"v, 34 leaves :"			76877874
Biomass from citric acid production as a fiber substitute in paper /		Jonathan T. Biron.	"Biron, Jonathan T."		M.S. Ch. E.	University of Washington	2003	030703s2003\\\\xx\a\\\\\bm\\\000\0\eng\d	"v, 58 leaves :"			52551270
Surface functionalization for multi-channel surface plasmon resonance biosensors /		Christina L Boozer.	"Boozer, Christina L."		Ph. D.	University of Washington	2005	060525s2005\\\\xx\a\\\\\bm\\\000\0\eng\d	"ix, 116 leaves :"			69381834
Self-assembly of two tetraphenylporphyrins on gold /		Ariana L. Bramblett.	"Bramblett, Ariana L."		M.S. Ch. E.	University of Washington	2002	021204s2002\\\\xx\a\\\\\bm\\\000\0\eng\d	"viii, 143 leaves :"			51160754
Enhanced fracture properties beam cured epoxy materials /		James W. Burgess.	"Burgess, James W.(James William),1975-"		M.S.E.	University of Washington	2002	021210s2002\\\\xx\a\\\\\bm\\\000\0\eng\d	"iv, 85 leaves :"			51196890
Formation and characterization of patterned heterogeneous silane films /		Janine Buseman-Williams.	"Buseman-Williams, Janine."		M.S. Ch. E.	University of Washington	2003	030915s2003\\\\xx\a\\\\\bm\\\000\0\eng\d	"iv, 46 leaves :"			53026340
Elucidating the reverse water gas shift mechanism on platinum by comparison to the rate of carbon dioxide dissociation /		Lucas Geoffrey Cameron.	"Cameron, Lucas Geoffrey."		M.S. Ch. E.	University of Washington	2008	090417s2008\\\\xx\a\\\\\bm\\\000\0\eng\d	"v, 42 leaves :"			318650112
Tetraglyme glow discharge plasma modified biomaterials with ultralow protein adsorption and improved hemocompatibility /		Lan Cao.	"Cao, Lan,1976-"		Ph. D.	University of Washington	2006	061214s2006\\\\xx\a\\\\\bm\\\000\0\eng\d	"xvi, 230 leaves :"			76970574
Studies of polymer semiconductors towards all-polymer ambipolar field-effect transistors /		Richard D. Champion.	"Champion, Richard D."					081028s2008\\\\xx\a\\\\\bm\\\000\0\eng\d	"ix, 151 leaves :"			263915027
Chemistry and physics in low Reynolds number micro steady streaming devices /		Jian Chen.	"Chen, Jian,1975-"		Ph. D.	University of Washington	2005	060302s2005\\\\xx\a\\\\\bm\\\000\0\eng\d	"ix, 100 leaves :"		http://hdl.handle.net/1773/9928;http://gateway.proquest.com/openurl?url_ver=Z39.88-2004&rft_val_fmt=info:ofi/fmt:kev:mtx:dissertation&res_dat=xri:pqm&rft_dat=xri:pqdiss:3183349	64432598
Thermo-mechanical/structural properties and oxygen permeation behavior of mixed ionic electronic conductors La(1-x)Sr(x)CoO(3-delta) /		Xiyong Chen.	"Chen, Xiyong,1976-"		Ph. D.	University of Washington	2007	071016s2007\\\\xx\a\\\\\bm\\\000\0\eng\d	"vii, 214 leaves :"		http://hdl.handle.net/1773/9893	174283507
"XPS, ToF-SIMS, and SPR characterization of protein immobilization onto self-assembled monolayer surfaces /"		Fang Cheng.	"Cheng, Fang,1976-"		Ph. D.	University of Washington	2008	090420s2008\\\\xx\a\\\\\bm\\\000\0\eng\d	"xii, 202 leaves :"		http://gateway.proquest.com/openurl?url_ver=Z39.88-2004&rft_val_fmt=info:ofi/fmt:kev:mtx:dissertation&res_dat=xri:pqm&rft_dat=xri:pqdiss:3345563	318804318
"Functional study of ClpB95 and ClpB80, the alternative translation products of the E. coli clpB transcript /"		I-Ting Chow.	"Chow, I-Ting,1973-"		Ph. D.	University of Washington	2005	050809s2005\\\\xx\a\\\\\bm\\\000\0\eng\d	"iv, 118 leaves :"		http://hdl.handle.net/1773/9842	61234032
Engineering nanomaterials with a combined electrochemical and molecular biomimetic approach /		Haixia Dai.	"Dai, Haixia."		Ph. D.	University of Washington	2005	051110s2005\\\\xx\a\\\\\bm\\\000\0\eng\d	"x, 116 leaves :"		http://hdl.handle.net/1773/9868;http://gateway.proquest.com/openurl?url_ver=Z39.88-2004&rft_val_fmt=info:ofi/fmt:kev:mtx:dissertation&res_dat=xri:pqm&rft_dat=xri:pqdiss:3178066	62256701
Ink-media interactions in ink-jet printing /		Richard Crosson Daniel.	"Daniel, Richard Crosson."		Ph. D.	University of Washington	2004	050511s2004\\\\xx\a\\\\\bm\\\000\0\eng\d	"xx, 308 pages :"		http://hdl.handle.net/1773/9829;http://gateway.proquest.com/openurl?url_ver=Z39.88-2004&rft_val_fmt=info:ofi/fmt:kev:mtx:dissertation&res_dat=xri:pqm&rft_dat=xri:pqdiss:3151598	60346143
