245$a	245$b	245$c	100	502$b	502$c	502$d	008	300$a	700	856$u	001
"Fifteen years of American preferential tariff relations with the Philippines (1909-1924) ..."			"Rustia y Sison, Manuel."				"961016s1925\\\\xx\a\\\\\bm\\\000\0\eng\d"	"109 leaves"			"35749249"
"Emigration-inheritance-mortgages a factor in rural and urban economic in-equality ..."			"Rutledge, R. M.(Ralph Merrill)"	"Ph. D."	"University of Washington"		"890621s1930\\\\xx\a\\\\\bm\\\000\0\eng\d"	"v, 183 leaves"			"19905709"
"An investigation of Seattle as a location for a synthetic foundry iron industry ..."			"Schaller, Gilbert Simon."	"M.B.A."	"University of Washington"		"890807s1925\\\\xx\abf\\\bm\\\000\0\eng\d"	"76 leaves"			"20134714"
"Social and economic causes for the shifting character of the commercial banking business ..."			"Schneider, Robert Julius."	"M.B.A."	"University of Washington"		"890628s1929\\\\xx\a\\\\\bm\\\000\0\eng\d"	"134 leaves"			"19937023"
"Foreign banks in China ..."			"Shaw, Miachen Siang."				"961016s1925\\\\xx\\\\\\\bm\\\000\0\eng\d"	"123 leaves"			"35749245"
"Indian currency and gold standard ..."			"Singh, Mohan Kahlon."				"961004s1924\\\\xx\a\\\\\bm\\\000\0\eng\d"	"168 leaves"			"35686832"
"Modern budgetary procedure ..."			"Skeen, Ruby Rosenkranz."	"M.B.A."	"University of Washington"		"890728s1927\\\\xx\\\\\\\bm\\\000\0\eng\d"	"39 leaves"			"20082860"
"A standard cost system for a manufacturer ..."			"Smetheram, Francis Edwin."	"M.B.A."	"University of Washington"		"890605s1930\\\\xx\a\\\\\bm\\\000\0\eng\d"	"114 leaves"			"19815541"
"The administration of the general property tax in Washington with special reference to Snohomish County ..."			"Staten, Francis Angevine."	"M.A."	"University of Washington"		"890807s1926\\\\xx\a\\\\\bm\\\000\0\eng\d"	"57 [1] leaf including tables, diagrams"			"20134870"
"General hospital accounting ..."			"Steen, Ralph Andross."				"901213s1931\\\\xx\a\\\\\bm\\\000\0\eng\d"	"iv, 93 leaves"			"22853561"
"The development of Seattle banking ..."			"Stewart, Lyle Palmer Hall."	"M.A."	"University of Washington"		"890621s1930\\\\xx\a\\\\\bm\\\000\0\eng\d"	"67 leaves"			"19903482"
"Concepts of a market as developed in the Pittsburgh plus case."			"Stone, Myrtle Minshall."				"961101s1927\\\\xx\\\\\\\bm\\\000\0\eng\d"	"81 leaves"			"35834784"
"The tariff system in China ..."			"Sun, Hsieh Chee."				"961018s1925\\\\xx\\\\\\\bm\\\000\0\eng\d"	"[6] 166 leaves"			"35761803"
