245$a	245$b	245$c	100	502$b	502$c	502$d	008	300$a	700	856$u	001
"A value-directed approach to planning /"		"by Mikel R. Williamson."	"Williamson, Mikel R."	"Ph. D."	"University of Washington"	"1996"	"970624s1996\\\\xx\a\\\\\bm\\\000\0\eng\d"	"xi, 188 pages :"			"37186632"
"Computer-generated pen-and-ink illustration /"		"by Georges A. Winkenbach."	"Winkenbach, Georges A."	"Ph. D."	"University of Washington"	"1996"	"970624s1996\\\\xx\a\\\\\bm\\\000\0\eng\d"	"vii, 70 leaves :"			"37186275"
"Event query based debugging /"		"by Yoshito Yamane."	"Yamane, Yoshito,1961-"	"Ph. D."	"University of Washington"	"1997"	"971217s1997\\\\xx\a\\\\\bm\\\000\0\eng\d"	"xi, 181 pages :"		"http://hdl.handle.net/1773/6958"	"38103013"
"Cost effective fault tolerance for network routing /"		"by William Yost."	"Yost, William."	"M.S."	"University of Washington"	"1995"	"951013s1995\\\\xx\a\\\\\bm\\\000\0\eng\d"	"v, 90 leaves :"			"33295016"
"Clustering web documents :"	"a phrase-based method for grouping search engine results /"	"Oren Eli Zamir."	"Zamir, Oren Eli."	"Ph. D."	"University of Washington"	"1999"	"000608s1999\\\\xx\a\\\\\bm\\\000\0\eng\d"	"x, 192 pages :"		"http://hdl.handle.net/1773/6884;http://gateway.proquest.com/openurl?url_ver=Z39.88-2004&rft_val_fmt=info:ofi/fmt:kev:mtx:dissertation&res_dat=xri:pqm&rft_dat=xri:pqdiss:9952913"	"44267557"
"Porting Windows NT to an EB64+, an Alpha RISC processor based system /"		"by Beth Anne Zeranski."	"Zeranski, Beth Anne."	"M.S."	"University of Washington"	"1997"	"981023s1997\\\\xx\a\\\\\bm\\\000\0\eng\d"	"vii, 72 leaves :"			"40161254"
"Efficient content-based retrieval of images using triangle-inequality-based algorithms /"		"by Andrew P. Berman."	"Berman, Andrew P.(Andrew Philip)"	"Ph. D."	"University of Washington"	"1999"	"991109s1999\\\\xx\a\\\\\bm\\\000\0\eng\d"	"v, 100 pages :"		"http://hdl.handle.net/1773/6989;http://gateway.proquest.com/openurl?url_ver=Z39.88-2004&rft_val_fmt=info:ofi/fmt:kev:mtx:dissertation&res_dat=xri:pqm&rft_dat=xri:pqdiss:9924073"	"42794939"
"Cooperatively controlled objects in support of collaboration /"		"by Lauren J. Bricker."	"Bricker, Lauren J."	"Ph. D."	"University of Washington"	"1998"	"981118s1998\\\\xx\a\\\\\bm\\\000\0\eng\d"	"xiv, 190 pages :"		"http://hdl.handle.net/1773/6860"	"40344991"
"Specifying temporal behavior in interactive multimedia documents /"		"by Maria Cecelia Buchanan."	"Buchanan, Maria Cecelia,1959-"	"Ph. D."	"University of Washington"	"1995"	"960712s1995\\\\xx\a\\\\\bm\\\000\0\eng\d"	"xiv, 280 pages :"		"http://hdl.handle.net/1773/6933"	"35074030"
"On-line stochastic processes in data compression /"		"by Suzanne Bunton."	"Bunton, Suzanne."	"Ph. D."	"University of Washington"	"1996"	"970910s1996\\\\xx\a\\\\\bm\\\000\0\eng\d"	"viii, 156 pages :"		"http://hdl.handle.net/1773/6931"	"37599884"
