245$a	245$b	245$c	100	502$b	502$c	502$d	008	300$a	700	856$u	001
"A methodology to design rule-based systems /"		"Hongrui Liu."	"Liu, Hongrui,1975-"	"Ph. D."	"University of Washington"	"2010"	"100927s2010\\\\xx\a\\\\\bm\\\000\0\eng\d"	"v, 71 pages :"		"http://gateway.proquest.com/openurl?url_ver=Z39.88-2004&rft_val_fmt=info:ofi/fmt:kev:mtx:dissertation&res_dat=xri:pqm&rft_dat=xri:pqdiss:3406087"	"665868648"
"Multi-state system reliability :"	"models, dynamic measures, and applications /"	"Yung-wen Liu."	"Liu, Yung-wen."	"Ph. D."	"University of Washington"	"2006"	"070503s2006\\\\xx\a\\\\\bm\\\000\0\eng\d"	"vii, 137 pages :"			"123959914"
"Asynchronous stochastic learning curve effects in a large scale production system /"		"Roberto Francisco-Yi Lu."	"Lu, Roberto Francisco-Yi."	"Ph. D."	"University of Washington"	"2008"	"080922s2008\\\\xx\a\\\\\bm\\\000\0\eng\d"	"viii, 238 leaves :"		"http://hdl.handle.net/1773/10693;http://gateway.proquest.com/openurl?url_ver=Z39.88-2004&rft_val_fmt=info:ofi/fmt:kev:mtx:dissertation&res_dat=xri:pqm&rft_dat=xri:pqdiss:3303391"	"255665743"
"Global optimization of composite structures using parallel computing /"		"Wen Luo."	"Luo, Wen,1969-"	"M.S.I.E."	"University of Washington"	"1999"	"000404s1999\\\\xx\a\\\\\bm\\\000\0\eng\d"	"vi, 81 pages :"			"43768786"
"Toward directly mediated interaction in computer supported environments /"		"by Richard Allen May."	"May, Richard A.,1964-"	"Ph. D."	"University of Washington"	"2004"	"040910s2004\\\\xx\a\\\\\bm\\\000\0\eng\d"	"ix, 177 leaves :"		"http://hdl.handle.net/1773/10684;http://gateway.proquest.com/openurl?url_ver=Z39.88-2004&rft_val_fmt=info:ofi/fmt:kev:mtx:dissertation&res_dat=xri:pqm&rft_dat=xri:pqdiss:3118855"	"56483631"
"Multi-objective optimization of complex systems defined by rules /"		"Huseyin Onur Mete."	"Mete, Huseyin Onur."	"Ph. D."	"University of Washington"	"2010"	"110505s2010\\\\xx\a\\\\\bm\\\000\0\eng\d"	"vii, 112 leaves :"		"http://gateway.proquest.com/openurl?url_ver=Z39.88-2004&rft_val_fmt=info:ofi/fmt:kev:mtx:dissertation&res_dat=xri:pqm&rft_dat=xri:pqdiss:3431626"	"720401459"
"Interacting-particle algorithm and meta-control of temperature parameter /"		"Orcun Molvalioglu."	"Molvalioglu, Orcun."	"Ph. D."	"University of Washington"	"2007"	"080812s2007\\\\xx\a\\\\\bm\\\000\0\eng\d"	"vii, 112 pages :"		"http://hdl.handle.net/1773/10687;http://gateway.proquest.com/openurl?url_ver=Z39.88-2004&rft_val_fmt=info:ofi/fmt:kev:mtx:dissertation&res_dat=xri:pqm&rft_dat=xri:pqdiss:3290572"	"243621183"
"Tracking consensus in product development teams /"		"by Jeffrey A. Morrow."	"Morrow, Jeffrey A.(Jeffrey Alden)"	"Ph. D."	"University of Washington"	"1998"	"990629s1998\\\\xx\a\\\\\bm\\\000\0\eng\d"	"xiv, 184 leaves :"		"http://hdl.handle.net/1773/10694;http://gateway.proquest.com/openurl?url_ver=Z39.88-2004&rft_val_fmt=info:ofi/fmt:kev:mtx:dissertation&res_dat=xri:pqm&rft_dat=xri:pqdiss:9907941"	"41626783"
"Systems modeling of lung cancer screening programs to improve quality /"		"Archana Nandakumar."	"Nandakumar, Archana,author."	"M.S."	"University of Washington"	"2016"	"161114t20162016waua\\\\obm\\s000\0\eng\d"	"1 online resource (x, 103 pages) :"	"Mastrangelo, Christina M.,degree supervisor."	"http://hdl.handle.net/1773/37157"	"962492528"
"Ontology-driven education :"	"teaching anatomy with intelligent 3D games on the Web /"	"Trond Nilsen."	"Nilsen, Trond(Trond Tamaio),author."	"Ph. D."	"University of Washington"	"2015"	"160127t20152015waua\\\\obm\\s000\0\eng\d"	"1 online resource (320 pages) :"	"Furness, Thomas A.,degree supervisor."	"http://hdl.handle.net/1773/33983"	"936113800"
