245$a	245$b	245$c	100	502$b	502$c	502$d	008	300$a	700	856$u	001
"National anti-Semtism [sic] :"	"cultural and racial roots of anti-semitism in the development of nineteenth century German nationalism /"	"Shila E. MacDonald."	"MacDonald, Shila E."	"M.A."	"University of Washington"	"2005"	"051207s2005\\\\xx\\\\\\\bm\\\000\0\eng\d"	"ii, 56 leaves "			"62501191"
"Zeroing in on zero tolerance :"	"examining the relationship between policy and practice /"	"Michelle M. Maike."	"Maike, Michelle M."	"M.A."	"University of Washington"	"2003"	"040422s2003\\\\xx\a\\\\\bm\\\000\0\eng\d"	"iv, 63 leaves :"			"55007135"
"A social work perspective :"	"the categorical faces of empowerment within a contemporary Hindu Indian context /"	"Jacqueline Anne Marusic."	"Marusic, Jacqueline Anne."	"M.A.I.S."	"University of Washington, Tacoma"	"2009"	"100519s2009\\\\xx\\\\\\\bm\\\000\0\eng\d"	"vii, 123 leaves "			"620883386"
"Transformative change in professional development :"	"teaching teachers to teach the arts, the Arts Impact model /"	"Amy E. McBride."	"McBride, Amy E."	"M.A.I.S."	"University of Washington, Tacoma"	"2010"	"110609s2010\\\\xx\a\\\\\bm\\\000\0\eng\d"	"v, 78 leaves :"			"729747502"
"Global ethics demand international education and exchange /"		"Rachel McKamey."	"McKamey, Rachel."	"M.A.I.S."	"University of Washington, Tacoma"	"2007"	"080624s2007\\\\xx\\\\\\\bm\\\000\0\eng\d"	"vi, 71 leaves "			"232579568"
"Academic invisibility :"	"a critique of daughter victims of maternal incest research /"	"Tylir Jadyn McKenzie."	"McKenzie, Tylir Jadyn."	"M.A.I.S."	"University of Washington, Tacoma"	"2011"	"120209s2011\\\\xx\a\\\\\bm\\\000\0\eng\d"	"v, 90 leaves :"			"775672141"
"Inter arma silent leges ="	"In times of war the laws are silent : the struggle between civil liberties and public safety in America after September 11, 2001 and during the officially undeclared war on terrror (from September 11, 2001 to January 30, 2002) /"	"James R. McLachlan."	"McLachlan, James R.,1963-"	"M.A. Interd. St."	"University of Washington, Tacoma"	"2002"	"030221s2002\\\\xx\a\\\\\bm\\\000\0\eng\d"	"xi, 223 leaves :"			"51725782"
"Biophilia and a new ecological paradigm for the twenty-first century /"		"Shawn Kathleen Olsen."	"Olsen, Shawn Kathleen."	"M.A.I.S."	"University of Washington, Tacoma"	"2009"	"090827s2009\\\\xx\\\\\\\bm\\\000\0\eng\d"	"ii, 77 leaves "			"434090410"
"Aggressive driving :"	"the shadow self /"	"George Steve Patterson."	"Patterson, George Steve."	"M.A."	"University of Washington, Tacoma"	"2006"	"070710s2006\\\\xx\\\\\\\bm\\\000\0\eng\d"	"ii, 52 leaves "			"154249324"
"Japanese culture at the Tokyo war crime trials :"	"a source of future conflicts /"	"Aaron Peplowski."	"Peplowski, Aaron."	"M.A.I.S."	"University of Washington, Tacoma"	"2009"	"100115s2009\\\\xx\\\\\\\bm\\\000\0\eng\d"	"72 leaves "			"499152512"
"The social question and Martin Luther King, Jr.'s revolution of values /"		"Benjamin Alexander Peters."	"Peters, Benjamin Alexander."	"M.A."	"University of Washington, Tacoma"	"2004"	"041130s2004\\\\xx\\\\\\\bm\\\000\0\eng\d"	"iii, 59 leaves "			"57120462"
"The alchemy of education :"	"an inquiry into the distance education movement /"	"by Clayton Pierce."	"Pierce, Clayton."	"M.A."	"University of Washington"	"2003"	"040113s2003\\\\xx\\\\\\\bm\\\000\0\eng\d"	"i, 93 leaves "			"54020143"
"Interpreting hospital spaces :"	"the role of the built environment on the hospital experience /"	"Carolyn Quist."	"Quist, Carolyn."	"M.A."	"University of Washington"	"2005"	"060712s2005\\\\xx\a\\\\\bm\\\000\0\eng\d"	"v, 61 leaves :"			"70286627"
"Drama of 'the American way of life' :"	"what is hidden behind the curtain /"	"Alevtina V. Rea."	"Rea, Alevtina V."	"M.A."	"University of Washington, Tacoma"	"2004"	"041130s2004\\\\xx\\\\\\\bm\\\000\0\eng\d"	"i, 87 leaves "			"57119951"
"The war on terror :"	"a threat to democracy, international law, and human rights /"	"Johanna J. Redo."	"Redo, Johanna J."	"M.A.I.S."	"University of Washington, Tacoma"	"2008"	"080811s2008\\\\xx\\\\\\\bm\\\000\0\eng\d"	"iii, 63 leaves "			"243476304"
"Modern emancipation :"	"the evolution of natural rights philosophy and the emancipation of men, slaves, women, Indians, and environmental entities as the basis for the rights of preborn human beings /"	"by Matthew H. Richardson."	"Richardson, Matthew H."	"M.A."	"University of Washington, Tacoma"	"2003"	"030709s2003\\\\xx\\\\\\\bm\\\000\0\eng\d"	"viii, 333 leaves "			"52584117"
"A municipality as lead potentially responsible party :"	"pathways to community involvement in Superfund /"	"Tanya Marie Roberts."	"Roberts, Tanya Marie."	"M.A.I.S."	"University of Washington, Tacoma"	"2007"	"080701s2007\\\\xx\a\\\\\bm\\\000\0\eng\d"	"viii, 76 leaves :"			"232989014"
"Confluence in consciousness :"	"a comparison of the role of the provider in Tibetan and western medicine /"	"Theresa M. Rozell."	"Rozell, Theresa M."	"M.A.I.S."	"University of Washington, Tacoma"	"2007"	"071031s2007\\\\xx\\\\\\\bm\\\000\0\eng\d"	"iv, 67 leaves "			"180127150"
"Nuclear weapons in a post Cold War world :"	"back from the brink or moving further towards total war /"	"Timothy Mark Russell."	"Russell, Timothy Mark."	"M.A.I.S."	"University of Washington, Tacoma"	"2006"	"061122s2006\\\\xx\\\\\\\bm\\\000\0\eng\d"	"i, 57 leaves "			"76790098"
"Effects of computerized technology on the practice of nursing /"		"Martha Frances Ryland."	"Ryland, Martha Frances."	"M.A."	"University of Washington"	"2005"	"060321s2005\\\\xx\\\\\\\bm\\\000\0\eng\d"	"ii, 66, leaves "			"65177396"
"Chemically induced altered states of consciousness :"	"a syncretic analysis of the emergence of psychedelic science /"	"Brandon Chase Sewell."	"Sewell, Brandon Chase."	"M.A.I.S."	"University of Washington, Tacoma"	"2011"	"111219s2011\\\\xx\a\\\\\bm\\\000\0\eng\d"	"iii, 82 leaves :"			"768774712"
"Why should small arms and light weapons be regulated? /"		"Rhonda R. Sherran."	"Sherran, Rhonda R."	"M.A."	"University of Washington, Tacoma"	"2003"	"040120s2003\\\\xx\a\\\\\bm\\\000\0\eng\d"	"iii, 57 leaves :"			"54056085"
"Determining Pacific geoduck clam (Panopea generosa) larval distribution relative to oceanographic physical parameters in Quartermaster Harbor (QMH), Puget Sound, Washington /"		"Yvonne R.A. Shevalier."	"Shevalier, Yvonne R. A."	"M.A.I.S."	"University of Washington, Tacoma"	"2011"	"120718s2011\\\\xx\a\\\\\bm\\\000\0\eng\d"	"v, 48 leaves :"			"800455328"
"Immigration enforcement /"		"Robert Sorensen."	"Sorensen, Robert,1948-"	"M.A.I.S."	"University of Washington, Tacoma"	"2009"	"091007s2009\\\\xx\\\\\\\bm\\\000\0\eng\d"	"iii, 77 leaves "			"451078545"
"The role of museum education in making the arts accessible to everyone /"		"Vicki Kay Spalding."	"Spalding, Vicki Kay."	"M.A.I.S."	"University of Washington, Tacoma"	"2009"	"091006s2009\\\\xx\\\\\\\bm\\\000\0\eng\d"	"iii, 122 leaves "			"450074983"
"Revealing a chromatic discourse within magazine advertising :"	"a semiotic analysis of the relationship among color, social values, and ideology /"	"Edward W. Sponholz."	"Sponholz, Edward W."	"M.A."	"University of Washington, Tacoma"	"2003"	"040121s2003\\\\xx\a\\\\\bm\\\000\0\eng\d"	"iii, 94 leaves :"			"54063536"
"Gifted education in the state of Washington :"	"standards and challenges /"	"Constance L. Standley."	"Standley, Constance L."	"M.A.I.S."	"University of Washington, Tacoma"	"2008"	"081203s2008\\\\xx\\\\\\\bm\\\000\0\eng\d"	"iv, 63 leaves "			"276956169"
"Prison profiteering :"	"history, implications and solutions /"	"Jessica K. Thompson."	"Thompson, Jessica K."	"M.A.I.S."	"University of Washington, Tacoma"	"2009"	"091215s2009\\\\xx\\\\\\\bm\\\000\0\eng\d"	"i, 69 leaves "			"489149157"
"Leaving Hispanic students behind :"	"the effect of the Washington Assessment of Student Learning on Hispanic students /"	"Maria Trujillo."	"Trujillo, Maria."	"M.A.I.S."	"University of Washington, Tacoma"	"2007"	"080501s2007\\\\xx\a\\\\\bm\\\000\0\eng\d"	"iii, 58 leaves :"			"226895375"
"Globalization or hegemony? :"	"the impact of the North American Free Trade Agreement on contemporary Mexican culture /"	"Yesica Trujillo."	"Trujillo, Yesica."	"M.A.I.S."	"University of Washington, Tacoma"	"2007"	"080501s2007\\\\xx\\\\\\\bm\\\000\0\eng\d"	"ii, 61 leaves "			"226893265"
"Linking health education to microcredit :"	"a way to advance more effectively and efficiently toward the millennium development goal to alleviate world poverty? /"	"Pamela M. Tyler-Hiller."	"Tyler-Hiller, Pamela M."	"M.A.I.S."	"University of Washington, Tacoma"	"2011"	"120111s2011\\\\xx\a\\\\\bm\\\000\0\eng\d"	"iii, 46 leaves "			"772465381"
"Discourse and the gender gap at National Geographic magazine /"		"Kathleen L. van Gelder."	"Van Gelder, Kathleen L."	"M.A.I.S."	"University of Washington, Tacoma"	"2007"	"071031s2007\\\\xx\a\\\\\bm\\\000\0\eng\d"	"ix, 70 leaves :"			"180121228"
"Federalism and the law of marriage, cohabitation and domestic relationships :"	"historic origins of a contemporary American issue /"	"Ralph A. Van Horn."	"Van Horn, Ralph A."	"M.A."	"University of Washington, Tacoma"	"2011"	"120110s2011\\\\xx\a\\\\\bm\\\000\0\eng\d"	"i, 86 leaves :"			"772105867"
"Pluralism in mainstream international relations theory /"		"Cana Rachel Vinluan."	"Vinluan, Cana Rachel."	"M.A."	"University of Washington"	"2010"	"110616s2010\\\\xx\a\\\\\bm\\\000\0\eng\d"	"ii, 109 leaves "			"731048910"
